champion,patch,id_postaci
Zac,15.08,1117
Mel,15.08,1118
Garen,15.08,1119
Shyvana,15.08,1120
Bel'Veth,15.08,1121
Rek'Sai,15.08,1122
Blitzcrank,15.08,1123
Sett,15.08,1124
Kennen,15.08,1125
Trundle,15.08,1126
Amumu,15.08,1127
Nami,15.08,1128
Senna,15.08,1129
Janna,15.08,1130
Nilah,15.08,1131
Darius,15.08,1132
Caitlyn,15.08,1133
Olaf,15.08,1134
Aurelion Sol,15.08,1135
Vex,15.08,1136
Diana,15.08,1137
Milio,15.08,1138
Katarina,15.08,1139
Gangplank,15.08,1140
Hecarim,15.08,1141
Leblanc,15.08,1142
Vayne,15.08,1143
Teemo,15.08,1144
Veigar,15.08,1145
Kayn,15.08,1146
Soraka,15.08,1147
Tahm Kench,15.08,1148
Tryndamere,15.08,1149
Kled,15.08,1150
Kassadin,15.08,1151
Vel'Koz,15.08,1152
Talon,15.08,1153
Morgana,15.08,1154
Kayle,15.08,1155
Warwick,15.08,1156
Karthus,15.08,1157
Yuumi,15.08,1158
Kha'Zix,15.08,1159
Ornn,15.09,1160
Maokai,15.09,1161
Orianna,15.09,1162
Aphelios,15.09,1163
Rell,15.09,1164
Sion,15.09,1165
Zyra,15.09,1166
Jayce,15.09,1167
Varus,15.09,1168
Leona,15.09,1169
,15.09,1170
Gragas,15.09,1171
Ivern,15.09,1172
Tristana,15.09,1173
Jinx,15.09,1174
Galio,15.09,1175
Rumble,15.09,1176
Xin Zhao,15.09,1177
Azir,15.09,1178
Smolder,15.09,1179
Nautilus,15.09,1180
Gwen,15.09,1181
Taliyah,15.09,1182
Corki,15.09,1183
Alistar,15.09,1184
Vi,15.09,1185
Renata Glasc,15.09,1186
Ambessa,15.09,1187
Ahri,15.09,1188
Poppy,15.09,1189
Yone,15.09,1190
Ashe,15.09,1191
Braum,15.09,1192
Urgot,15.09,1193
Syndra,15.09,1194
K'Sante,15.09,1195
Kindred,15.09,1196
Akali,15.09,1197
Ezreal,15.09,1198
Twisted Fate,15.08,1199
Viego,15.09,1200
Aurora,15.09,1201
Caitlyn,15.09,1202
Neeko,15.09,1203
Kennen,15.09,1204
Sejuani,15.09,1205
Jhin,15.09,1206
Rakan,15.09,1207
Kai'Sa,15.09,1208
Aatrox,15.09,1209
Lee Sin,15.09,1210
Mel,15.09,1211
Xayah,15.09,1212
Gnar,15.09,1213
